@relation 'csv_result-activity_recognition-weka.filters.unsupervised.attribute.Remove-R35-40,44-92-weka.filters.unsupervised.attribute.Remove-R2-31'

@attribute id numeric
@attribute XAVG numeric
@attribute YAVG numeric
@attribute ZAVG numeric
@attribute XSTANDDEV numeric
@attribute YSTANDDEV numeric
@attribute ZSTANDDEV numeric
@attribute ACTIVITY {A,B,C,D,E,F,G,H,I,J,K,L,M,O,P,Q,R,S}

@data
1,12.0689,-1.1357,-0.022859,0.287813,0.180374,0.206957,A
2,12.1521,-1.75208,-1.32761,0.220688,0.216164,0.152043,A
3,12.1529,-1.53875,-0.972243,0.210443,0.1561,0.124489,A
4,11.9523,-1.31171,-0.505159,0.232177,0.158364,0.123818,A
5,12.0245,-1.03888,0.240671,0.203347,0.144357,0.146905,A
6,11.3286,-1.47259,1.04583,0.256022,0.172804,0.221377,A
7,11.6582,-1.41822,-0.68883,0.237,0.165762,0.103426,A
8,11.2803,-1.2452,0.16778,0.261381,0.11768,0.195815,A
9,12.2822,-1.20303,-0.752252,0.240851,0.199936,0.128251,A
10,12.0251,-1.51075,-0.706846,0.238201,0.149242,0.105475,A
11,10.5171,-1.08138,0.992642,0.23673,0.127812,0.227309,A
12,11.0625,-0.625521,1.47469,0.263967,0.121995,0.227527,A
13,11.9944,-1.07504,-0.975643,0.233215,0.168727,0.120708,A
14,11.6569,-1.19521,-0.518123,0.225506,0.133145,0.095574,A
15,11.1033,-1.03058,-0.577523,0.256245,0.166201,0.105226,A
16,11.2681,-1.11332,-0.685837,0.238199,0.183525,0.12328,A
17,12.309,-1.57507,-0.960428,0.227146,0.184316,0.106016,A
18,10.0869,-0.842663,2.64019,0.242121,0.131184,0.249106,A
19,0.499442,-7.65696,-0.214107,0.372419,0.545675,0.357977,B
20,0.153708,-9.171,-0.497641,0.38124,0.569658,0.23334,B
21,-0.619188,-8.92206,0.393002,0.389213,0.56573,0.186755,B
22,0.726736,-9.12771,-1.16926,0.437819,0.588381,0.284744,B
23,1.3516,-8.26863,1.43059,0.434058,0.586482,0.315261,B
24,2.74768,-7.81569,-0.768643,0.508327,0.62216,0.39542,B
25,1.46207,-8.21482,1.2185,0.456699,0.603193,0.322515,B
26,1.717,-7.68509,0.937551,0.445405,0.608359,0.364323,B
27,0.526234,-7.34892,0.906331,0.447932,0.616621,0.355121,B
28,0.820454,-8.30544,-1.19002,0.481324,0.607918,0.269017,B
29,1.28054,-8.448,-0.332321,0.518418,0.646102,0.267483,B
30,1.12746,-8.20872,-0.549008,0.520391,0.654786,0.283273,B
31,0.589931,-8.63751,-0.22961,0.45565,0.623864,0.194841,B
32,2.3963,-8.14169,0.768245,0.506937,0.659351,0.219515,B
33,2.28521,-7.6852,1.23851,0.525685,0.635164,0.322842,B
